mol_0000,-40.477459885611836
mol_0001,-79.755605635845413
mol_0002,-78.516676190049679
mol_0003,-77.260269983586298
mol_0004,-154.929404962117474
mol_0005,-153.717260861112379
mol_0006,-154.910698399936791
mol_0007,-117.797616945360588
mol_0008,-119.036330112374543
mol_0009,-117.799721487267902
mol_0010,-116.552844052034459
mol_0011,-133.820467984945054
mol_0012,-135.067306392799424
mol_0013,-132.647413293336740
mol_0014,-135.054431954509425
mol_0015,-153.679354645603780
mol_0016,-155.843819710835646
mol_0017,-157.083026031452249
mol_0018,-155.832765259510836
mol_0019,-173.095430755193547
mol_0020,-173.106165516609593
mol_0021,-174.347343576719567
mol_0022,-170.691673744796844
mol_0023,-169.415762309213648
mol_0024,-174.350915066712673
mol_0025,-171.927215118341081
mol_0026,-157.077024203272856
mol_0027,-174.337802155918013
mol_0028,-173.094030609930883
mol_0029,-174.328841285170938
mol_0030,-173.113421708414251
mol_0031,-173.110744473705893
mol_0032,-171.859116249078482
mol_0033,-192.965093652024649
mol_0034,-192.966590821095309
mol_0035,-194.209586856296312
mol_0036,-191.768840354758225
mol_0037,-157.080054447530301
mol_0038,-194.214849373447180
mol_0039,-193.010131587062205
mol_0040,-192.998160208125796
mol_0041,-194.196446008291900
mol_0042,-192.966597361434680
mol_0043,-192.971077757323570
mol_0044,-190.505479852090446
mol_0045,-192.973289795866663
mol_0046,-191.718244406802313
mol_0047,-208.985694802949070
mol_0048,-158.316653480636461
mol_0049,-209.075018148088361
mol_0050,-209.054701931826912
mol_0051,-208.964976364667052
mol_0052,-210.239111700481146
mol_0053,-158.318262014426324
mol_0054,-155.856530035402955
mol_0055,-154.601193687396091
mol_0056,-153.332324816588255
mol_0057,-157.084909058122093
mol_0058,-157.085976677810493
mol_0059,-233.494168447783778
mol_0060,-232.289710744381495
mol_0061,-232.280126331974913
mol_0062,-233.476560899681687
mol_0063,-233.482054124368972
mol_0064,-231.022318843812030
mol_0065,-231.058906473711318
mol_0066,-229.798659238252071
mol_0067,-232.258447608731217
mol_0068,-231.005839498099192
mol_0069,-195.164143933004766
mol_0070,-232.255522236092048
mol_0072,-232.250033456459477
mol_0073,-233.479304870205368
mol_0074,-232.250128135369465
mol_0075,-232.240204707622183
mol_0076,-230.985274403742153
mol_0077,-232.257306601844022
mol_0078,-231.056496469179876
mol_0079,-232.253578714130384
mol_0080,-195.123718049768684
mol_0081,-231.040406218370322
mol_0082,-229.791482029034512
mol_0083,-232.255931539528831
mol_0084,-231.005926714628146
mol_0085,-247.053954508471207
mol_0086,-245.861671480487928
mol_0087,-245.898481656273418
mol_0088,-248.276828415253306
mol_0089,-248.268385731092479
mol_0090,-248.353839035846818
mol_0091,-193.877892843305574
mol_0092,-247.112496056964488
mol_0093,-249.528502007422816
mol_0094,-248.340557882788517
mol_0095,-249.530981834674265
mol_0096,-248.250500623583974
mol_0097,-249.514979385177298
mol_0098,-248.330236277182649
mol_0099,-248.343170653342924
mol_0100,-248.296597904677299
mol_0101,-249.507297382244758
mol_0102,-195.129458227227047
mol_0103,-248.254928588530873
mol_0104,-248.281738951592729
mol_0105,-248.275014148628657
mol_0106,-248.275367835587076
mol_0107,-249.520860979401533
mol_0108,-247.105214016894536
mol_0109,-247.122028953303698
mol_0110,-245.862182890511576
mol_0111,-247.113040501228539
mol_0112,-248.276420255578898
mol_0113,-193.877283370950892
mol_0114,-247.074109983046412
mol_0115,-248.277936342683432
mol_0116,-247.065920079188714
mol_0117,-247.065899975996899
mol_0118,-247.040579005244126
mol_0119,-245.779302333426529
mol_0121,-568.803630273259159
mol_0122,-568.807135692207339
mol_0123,-192.621822337525799
mol_0124,-196.370177553360548
mol_0125,-195.142753344184314
mol_0126,-193.884815102362523
mol_0127,-195.141575900247261
mol_0128,-196.391210554320139
mol_0129,-193.883759240790823
mol_0130,-196.364365372170766
mol_0132,-193.892847320303702
mol_0133,-192.546896985153722
mol_0134,-196.368296639046150
mol_0135,-196.368026031594326
mol_0136,-195.123472612186418
mol_0137,-196.363542971793493
mol_0138,-195.113604483035232
mol_0139,-196.362179082286445
mol_0140,-212.415330559747161
mol_0141,-210.010351743581538
